Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Phenophase_ID,Phenophase_Description,First_Yes_Sample_Size,Mean_First_Yes_Year,Mean_First_Yes_DOY,Mean_First_Yes_Julian_Date,SE_First_Yes_In_Days,Min_First_Yes_DOY,Max_First_Yes_DOY,Median_First_Yes_DOY,Mean_NumDays_Since_Prior_No,SE_NumDays_Since_Prior_No,Last_Yes_Sample_Size,Mean_Last_Yes_Year,Mean_Last_Yes_DOY,Mean_Last_Yes_Julian_Date,SE_Last_Yes_in_Days,Mean_NumDays_Until_Next_No,SE_NumDays_Until_Next_No,Mean_AGDD
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,471,Falling leaves,2,2015,281,2457304,0.0,281,281,281,5.0,0.0,2,2015,311,2457334,4.0,4.5,0.5,4691.0
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,483,Leaves,2,2015,90,2457113,0.0,90,90,90,3.0,0.0,2,2015,311,2457334,4.0,4.5,0.5,475.25
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,498,Colored leaves,2,2015,250,2457273,0.0,250,250,250,4.0,0.0,2,2015,311,2457334,4.0,4.5,0.5,4059.0
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,500,Flowers or flower buds,2,2015,81,2457104,0.0,81,81,81,3.0,0.0,2,2015,93,2457116,0.0,4.0,0.0,369.5
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,501,Open flowers,2,2015,82,2457105,1.0,81,83,82,2.5,0.5,2,2015,93,2457116,0.0,4.0,0.0,384.125
3,35.879211,-84.172203,296,TN,88,Prunus,persica,peach,Plantae,516,Fruits,2,2015,115,2457138,0.0,115,115,115,3.0,0.0,2,2015,161,2457184,0.0,17.0,0.0,879.25
965,36.109207,-79.220932,209,NC,88,Prunus,persica,peach,Plantae,371,Breaking leaf buds,1,2015,86,2457109,-9999.0,86,86,86,11.0,-9999.0,1,2015,97,2457120,-9999.0,3.0,-9999.0,459.0
965,36.109207,-79.220932,209,NC,88,Prunus,persica,peach,Plantae,467,Early season leaf expansion,1,2015,86,2457109,-9999.0,86,86,86,11.0,-9999.0,1,2015,104,2457127,-9999.0,8.0,-9999.0,459.0
965,36.109207,-79.220932,209,NC,88,Prunus,persica,peach,Plantae,483,Leaves,1,2015,97,2457120,-9999.0,97,97,97,11.0,-9999.0,0,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,586.0
965,36.109207,-79.220932,209,NC,88,Prunus,persica,peach,Plantae,500,Flowers or flower buds,0,-9999,-9999,-9999,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,1,2015,75,2457098,-9999.0,11.0,-9999.0,-9999.0
965,36.109207,-79.220932,209,NC,88,Prunus,persica,peach,Plantae,501,Open flowers,0,-9999,-9999,-9999,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,1,2015,75,2457098,-9999.0,11.0,-9999.0,-9999.0
